x_value,theta,r
15,266.796875,1655.5
15,268.1875,1639.5
15,269.5625,1645.0
15,276.625,310.75
15,279.9375,227.0
15,278.296875,956.25
15,280.34375,677.0
15,281.75,652.0
15,284.546875,670.0
15,285.828125,672.25
15,289.9375,1630.75
15,291.3125,1632.0
15,294.25,1381.75
11,298.109375,672.75
15,299.453125,661.0
14,300.84375,648.0
15,305.140625,645.5
15,306.28125,669.5
15,307.609375,694.5
15,308.84375,725.25
15,310.328125,694.25
15,311.875,664.25
15,313.171875,641.25
9,316.09375,386.75
15,317.703125,382.25
15,319.0625,363.25
7,320.515625,357.25
14,322.140625,351.0
11,325.1875,325.0
14,327.828125,328.0
15,328.953125,340.75
15,330.515625,357.75
15,331.484375,359.0
15,332.5625,369.5
15,334.203125,380.25
15,335.296875,392.25
15,336.640625,405.5
15,337.8125,415.5
15,339.125,408.5
15,340.6875,403.0
15,341.984375,398.0
15,343.75,392.75
15,344.953125,387.5
15,346.296875,383.0
15,347.984375,379.25
15,349.09375,375.0
15,350.375,372.0
15,351.90625,368.75
14,356.265625,216.5
15,354.828125,365.0
15,355.921875,366.75
15,1.953125,349.75
15,3.046875,336.25
15,4.28125,352.0
15,9.921875,350.0
15,11.296875,350.25
14,16.78125,139.75
15,19.1875,140.25
15,19.59375,139.25
15,20.96875,139.0
15,23.953125,138.75
15,23.71875,138.25
15,26.625,138.5
15,26.46875,138.0
15,28.390625,138.25
15,28.953125,138.25
15,30.578125,138.25
15,33.203125,138.5
15,33.328125,138.0
15,34.703125,138.75
15,36.0625,137.25
15,37.4375,135.5
14,38.8125,134.5
15,42.953125,144.5
15,44.328125,142.75
15,45.703125,142.75
15,47.078125,144.25
13,49.484375,145.75
15,49.828125,146.25
12,51.1875,147.5
11,52.5625,149.25
7,59.421875,155.25
7,61.359375,155.25
15,104.78125,133.25
15,129.359375,131.5
15,136.375,251.75
15,138.5,253.25
15,140.375,254.25
15,141.609375,255.75
15,143.1875,258.25
15,143.203125,262.5
15,144.234375,267.0
15,146.296875,261.5
13,152.171875,269.5
15,150.34375,804.25
15,151.78125,794.25
15,153.875,538.25
15,155.515625,528.0
15,156.890625,521.25
14,163.234375,208.75
15,165.109375,164.0
15,166.484375,162.75
15,174.21875,218.0
15,176.09375,163.5
15,177.46875,161.75
15,178.84375,163.5
15,180.203125,167.25
15,183.546875,417.25
15,184.859375,423.25
15,186.28125,438.75
15,187.515625,462.75
15,188.4375,491.75
15,189.8125,501.5
15,191.296875,504.0
15,192.65625,506.25
15,193.984375,511.0
15,195.125,517.25
15,196.5,524.5
15,197.859375,533.75
15,199.15625,545.25
15,200.546875,557.75
13,201.890625,573.0
7,203.15625,579.75
15,204.5625,580.0
15,206.03125,559.25
15,207.59375,536.5
15,208.96875,513.0
15,210.5,496.25
15,212.078125,485.5
15,213.40625,478.25
15,214.890625,475.25
15,216.0625,472.25
15,217.5,473.75
15,219.046875,473.0
15,220.171875,477.5
15,221.59375,483.75
15,222.859375,491.0
15,224.359375,502.5
15,225.453125,514.5
15,227.0625,520.75
15,228.1875,524.25
15,229.421875,530.0
15,230.84375,537.0
15,232.078125,548.25
15,233.4375,565.5
15,234.65625,597.75
15,236.0,631.75
15,237.21875,637.25
15,238.5625,631.5
15,239.921875,628.75
15,241.453125,629.5
15,242.625,633.5
15,244.046875,642.0
15,245.546875,640.75
15,246.859375,618.5
15,248.328125,610.5
15,249.65625,610.0
15,251.03125,616.25
15,252.46875,633.0
15,253.765625,1504.25
15,255.140625,1527.25
11,256.5625,1430.75
15,257.9375,1428.25
8,261.0625,546.75
15,266.078125,1668.75
15,267.390625,1655.5
15,268.78125,1640.75
15,276.828125,316.0
15,281.171875,229.75
15,278.859375,987.5
15,280.828125,664.25
15,282.328125,616.25
15,283.125,845.75
15,284.90625,669.5
15,286.28125,676.5
15,289.125,1614.75
15,290.5,1624.0
15,293.328125,1462.25
15,294.765625,1328.5
14,298.6875,666.0
15,300.078125,655.0
9,302.96875,628.25
15,305.59375,654.25
15,306.875,681.0
15,309.546875,707.5
15,310.96875,681.5
15,312.5625,655.0
11,313.890625,643.0
12,317.0,381.75
15,318.046875,380.0
13,319.796875,363.0
15,321.328125,354.5
15,329.78125,230.5
15,328.09375,336.75
15,329.796875,341.75
15,331.125,353.5
15,332.21875,363.75
15,333.46875,374.25
15,334.765625,385.75
15,335.734375,398.75
15,336.875,418.25
15,338.46875,411.75
15,340.0625,406.0
15,341.171875,401.25
15,342.890625,395.25
15,344.265625,390.75
15,345.84375,385.5
15,346.796875,381.25
15,348.3125,377.5
15,349.625,374.0
15,351.171875,371.0
15,352.828125,369.0
15,354.09375,363.0
15,355.1875,365.5
9,356.984375,365.5
15,1.28125,348.5
15,2.625,351.75
15,4.046875,349.0
15,5.015625,355.5
15,10.875,350.5
15,12.296875,350.75
15,17.453125,140.5
15,18.875,139.75
15,20.0,139.25
15,21.625,138.75
15,24.59375,138.75
15,24.375,138.5
15,25.734375,138.5
15,27.109375,138.25
15,28.484375,138.25
15,30.765625,138.25
15,31.234375,138.25
15,32.609375,138.25
15,34.859375,138.5
15,35.34375,138.25
15,36.71875,136.25
15,39.9375,134.5
15,42.28125,144.75
15,44.828125,144.25
15,45.28125,142.75
15,47.75,143.5
15,48.921875,145.75
12,49.15625,146.0
13,50.53125,147.5
9,57.96875,155.25
8,61.53125,159.75
13,107.375,132.0
9,127.578125,131.0
15,128.953125,132.5
11,130.328125,134.75
15,136.625,251.25
15,139.40625,252.5
15,140.265625,254.25
15,141.109375,255.0
15,141.4375,257.0
15,142.640625,260.5
15,144.328125,266.0
15,145.75,259.25
9,149.875,808.25
15,151.25,797.25
15,153.453125,541.75
15,155.015625,530.25
15,156.203125,525.25
15,158.046875,484.75
15,164.671875,164.25
15,166.046875,162.25
15,167.421875,164.75
15,168.796875,169.25
15,173.796875,218.0
15,175.671875,163.75
15,177.046875,160.5
15,178.4375,162.5
15,179.796875,165.75
15,184.40625,419.5
15,185.796875,433.75
15,186.875,455.0
15,188.328125,482.25
15,189.359375,500.75
15,190.875,502.5
15,192.09375,505.25
15,193.5625,509.5
15,194.703125,515.0
15,196.171875,521.5
15,197.5,529.75
15,198.78125,541.5
15,200.046875,553.5
15,201.328125,572.75
7,202.6875,571.75
15,204.0,587.75
15,205.59375,565.0
15,207.140625,544.0
15,208.609375,519.75
15,210.15625,500.75
15,211.53125,487.75
15,213.0,479.5
15,214.34375,475.75
15,215.671875,472.0
15,217.109375,471.0
15,218.71875,472.5
15,219.984375,477.0
15,221.421875,481.5
15,222.625,488.75
15,224.046875,498.75
15,225.109375,511.0
15,226.5625,519.25
15,227.96875,523.5
15,229.046875,528.25
15,230.5,535.5
15,231.78125,545.0
15,233.015625,560.0
15,234.359375,588.25
15,235.6875,623.5
15,236.796875,638.5
15,238.171875,633.0
15,239.625,629.5
15,241.125,629.25
15,242.375,633.5
15,243.734375,639.25
15,245.046875,651.75
15,246.578125,621.75
15,247.875,611.5
15,249.34375,610.0
15,250.75,614.25
15,252.03125,625.5
15,253.453125,1519.25
15,254.875,1519.75
8,256.3125,1429.25
15,257.65625,1438.75
10,259.0,1433.25
15,263.0,1683.0
12,264.453125,1583.5
15,265.734375,1664.25
15,267.125,1657.25
15,268.5,1642.75
15,276.84375,313.5
15,279.21875,228.25
15,278.484375,983.0
15,280.46875,679.0
15,284.765625,669.0
15,285.953125,673.75
15,287.484375,1620.5
15,288.875,1617.0
15,290.25,1615.5
15,294.484375,1355.5
13,298.40625,669.75
15,299.71875,659.25
13,301.34375,638.5
15,305.375,650.25
15,306.65625,674.75
15,308.03125,701.5
15,309.3125,716.0
15,310.796875,685.75
15,312.234375,659.0
15,313.6875,635.25
15,317.96875,381.0
15,319.5,362.0
15,321.046875,353.5
10,322.796875,340.75
10,325.6875,325.5
15,328.15625,334.0
15,329.671875,342.0
15,330.65625,353.25
15,331.640625,361.5
15,333.234375,371.5
15,334.09375,383.25
15,335.546875,395.5
15,336.828125,408.75
15,339.359375,408.0
15,341.140625,401.75
15,342.40625,396.75
15,343.65625,391.75
15,345.1875,386.5
15,346.515625,382.5
15,348.234375,377.75
15,349.390625,374.25
15,351.171875,371.0
15,352.1875,367.75
15,353.59375,358.75
15,355.34375,365.25
15,356.375,367.75
8,1.0625,342.25
15,2.03125,351.0
10,3.421875,337.75
15,5.140625,352.25
15,10.28125,350.0
15,11.84375,350.0
15,17.171875,140.25
15,20.03125,140.25
15,19.890625,139.25
15,21.265625,139.25
15,23.921875,139.0
15,25.671875,138.5
15,25.125,138.5
15,26.75,137.75
15,28.125,138.25
15,29.484375,138.0
15,32.296875,138.25
15,32.234375,138.25
15,34.8125,138.25
15,34.96875,138.25
15,38.1875,136.5
15,37.71875,134.75
9,39.078125,134.0
15,43.3125,144.0
15,45.609375,142.5
15,46.0625,143.5
15,47.4375,145.25
15,48.8125,145.5
15,50.1875,146.75
9,51.5625,148.0
9,55.6875,152.25
9,57.078125,155.25
8,59.828125,152.25
15,106.0625,132.75
15,128.5625,132.0
15,136.859375,254.0
15,137.84375,252.25
15,138.09375,254.0
15,140.625,255.0
15,141.5625,256.5
15,143.203125,257.0
15,144.671875,264.25
15,145.859375,269.5
15,153.015625,547.5
15,154.71875,532.5
15,155.984375,526.75
15,157.71875,486.5
15,164.296875,166.25
15,165.6875,162.25
15,167.0625,164.25
15,172.046875,212.75
15,172.5625,217.5
15,174.8125,219.75
15,176.6875,161.0
15,178.0625,162.0
15,184.1875,415.75
15,185.484375,430.25
15,186.578125,449.75
15,187.875,475.5
15,189.1875,499.75
15,190.609375,503.25
15,191.796875,504.75
15,193.296875,508.5
15,194.578125,514.25
15,195.78125,519.75
15,197.234375,528.5
15,198.703125,538.5
15,199.796875,550.25
15,201.0625,566.75
12,202.4375,573.5
15,203.78125,593.75
15,205.421875,569.75
15,206.71875,549.5
15,208.375,524.0
15,209.890625,504.0
15,211.203125,490.25
15,212.53125,482.5
15,214.265625,475.75
15,215.34375,474.75
15,217.0,470.5
15,218.359375,471.75
15,219.78125,474.25
15,220.984375,479.75
15,222.265625,487.5
15,223.46875,496.5
15,224.921875,509.5
15,226.171875,519.0
15,227.5,522.25
15,228.90625,527.25
15,230.140625,533.25
15,231.546875,542.25
15,232.890625,554.75
15,233.984375,580.0
15,235.390625,616.25
15,236.65625,644.25
15,237.875,634.25
15,239.265625,629.5
15,240.671875,629.5
15,242.171875,632.25
15,243.390625,637.25
15,244.828125,649.25
15,246.296875,625.25
15,247.5625,612.5
15,249.140625,610.5
15,250.3125,612.25
15,251.75,622.5
15,257.34375,1410.75
12,258.75,1434.25
13,261.84375,539.25
15,262.71875,1683.0
15,265.4375,1663.5
15,266.8125,1656.25
15,268.21875,1645.0
15,269.578125,1644.75
15,276.390625,310.5
15,280.609375,227.0
15,278.328125,950.25
15,280.359375,676.25
15,281.828125,655.0
15,284.40625,669.5
15,285.859375,671.75
15,289.921875,1631.5
15,291.296875,1633.25
15,294.203125,1378.5
10,298.015625,670.5
15,299.515625,660.5
12,300.953125,640.5
15,305.046875,648.0
15,306.3125,670.5
15,307.703125,695.75
15,308.953125,736.0
15,310.40625,691.25
15,311.890625,662.25
15,313.296875,640.0
10,316.515625,388.25
15,317.546875,381.25
15,319.125,363.25
9,321.046875,357.25
13,322.484375,347.25
12,325.328125,324.25
15,327.859375,329.75
15,329.203125,341.0
15,330.421875,357.0
15,331.703125,359.75
15,333.09375,370.0
15,334.03125,381.25
15,335.140625,393.25
15,336.515625,406.25
15,337.765625,414.75
15,339.140625,408.5
15,340.703125,402.25
15,342.296875,397.75
15,343.71875,392.25
15,345.21875,387.0
15,346.25,382.75
15,347.890625,379.25
15,349.4375,374.75
15,350.578125,372.5
15,352.296875,368.5
14,357.234375,217.0
15,354.75,365.5
15,356.21875,366.25
15,1.78125,350.5
15,10.53125,349.5
15,11.421875,350.5
15,16.96875,140.0
15,18.28125,140.0
15,19.65625,139.0
15,21.515625,139.25
15,23.359375,138.75
15,23.765625,138.25
15,25.140625,138.25
15,27.375,138.25
15,28.875,138.25
15,29.234375,138.25
15,30.609375,138.25
15,31.984375,138.25
15,33.359375,138.0
15,34.71875,138.75
15,36.65625,137.5
15,39.40625,135.25
11,40.234375,135.25
15,43.109375,144.25
15,44.5,142.5
15,45.875,143.0
15,47.25,144.75
14,49.453125,145.75
15,50.015625,146.25
10,52.125,148.25
10,52.765625,149.25
10,54.140625,150.75
7,59.65625,159.75
15,104.984375,133.0
15,129.6875,131.75
15,136.921875,256.25
15,136.890625,251.75
15,137.90625,253.5
15,139.703125,254.75
15,142.0625,255.75
15,142.9375,259.0
15,143.1875,265.25
15,144.734375,269.5
15,146.328125,266.75
15,147.21875,314.5
15,154.515625,534.5
15,155.890625,526.5
15,157.390625,483.25
15,165.453125,162.5
15,166.828125,163.75
15,174.578125,217.75
15,176.453125,162.0
15,177.828125,162.25
15,184.09375,414.0
15,185.4375,427.25
15,186.5625,446.5
15,187.71875,470.5
15,188.96875,496.5
15,190.421875,502.25
15,191.53125,504.5
15,193.171875,508.0
15,194.515625,512.25
15,195.8125,518.5
15,197.140625,526.5
15,198.421875,537.25
15,199.8125,548.5
15,200.875,563.5
13,202.359375,575.0
15,203.59375,598.5
15,205.015625,573.25
15,206.453125,552.75
15,208.0,527.75
15,209.546875,507.0
15,211.015625,492.0
15,212.34375,482.75
15,213.921875,476.75
15,215.296875,474.75
15,216.609375,471.75
15,218.21875,472.75
15,219.578125,474.0
15,220.734375,481.25
15,222.25,486.25
15,223.4375,495.5
15,224.796875,508.75
15,226.078125,517.0
15,227.296875,522.5
15,228.828125,527.0
15,229.96875,532.5
15,231.34375,542.25
15,232.75,553.75
15,234.078125,577.0
15,235.203125,613.0
15,236.46875,645.25
15,237.765625,635.0
15,239.34375,630.0
15,240.671875,630.25
15,241.96875,632.5
15,243.265625,637.5
15,244.609375,648.0
15,246.25,625.75
15,247.6875,612.25
15,248.9375,609.75
15,250.359375,611.25
15,251.78125,619.5
15,257.203125,1425.75
13,258.609375,1430.75
13,261.765625,535.75
15,262.5625,1683.5
15,265.3125,1658.0
15,266.6875,1658.0
15,268.078125,1648.0
15,269.421875,1638.25
9,276.171875,313.0
15,280.453125,226.0
13,278.25,936.5
15,280.109375,677.0
12,281.5,655.75
15,284.328125,670.25
15,285.765625,670.0
15,289.890625,1606.5
15,291.171875,1632.0
15,292.65625,1549.0
15,294.078125,1395.75
9,295.546875,1300.5
12,297.921875,673.0
15,299.40625,661.0
15,300.859375,648.5
15,305.0,645.5
15,306.34375,669.0
15,307.640625,694.25
15,308.921875,728.5
15,310.25,694.0
15,311.78125,664.25
15,313.296875,642.25
8,316.046875,386.75
15,317.5,382.75
15,318.9375,363.5
8,320.6875,361.75
15,322.0625,355.25
12,325.5625,325.25
12,327.609375,332.0
15,329.296875,340.25
14,330.125,358.75
15,331.421875,358.75
15,332.875,369.25
15,333.96875,380.25
15,335.234375,392.25
15,336.625,405.5
15,337.84375,415.25
15,339.421875,408.25
15,340.703125,402.75
15,341.9375,398.25
15,343.640625,392.75
15,344.953125,387.25
15,346.5,382.75
15,347.859375,379.25
15,349.0625,375.0
15,350.390625,372.25
15,352.28125,368.5
14,356.109375,217.0
15,354.953125,365.0
15,355.9375,366.75
15,1.890625,350.0
15,10.171875,349.75
15,11.40625,350.25
15,19.65625,140.25
15,19.578125,139.25
15,22.578125,139.25
15,22.328125,138.5
15,24.5625,138.5
15,26.15625,138.5
15,26.421875,138.0
15,27.546875,138.25
15,29.65625,138.25
15,30.53125,138.25
15,33.4375,138.5
15,33.28125,138.0
15,35.515625,139.0
15,37.21875,137.5
15,37.375,135.5
14,40.5,134.75
15,43.015625,144.5
15,45.609375,142.75
15,45.765625,142.75
15,47.15625,144.5
13,48.515625,145.5
15,50.9375,146.25
12,51.28125,147.5
10,52.65625,149.25
7,56.78125,151.5
8,58.15625,155.0
7,59.546875,155.0
7,60.921875,155.25
15,104.859375,133.25
15,129.203125,131.5
15,135.625,257.25
15,136.46875,251.75
15,138.546875,253.25
15,139.796875,254.5
15,141.5,255.75
15,143.453125,258.75
15,144.234375,263.25
15,144.4375,267.75
15,145.984375,263.25
12,151.28125,268.5
15,150.625,803.5
15,151.90625,794.0
15,154.3125,537.0
15,155.625,527.75
15,157.015625,503.25
15,158.40625,519.5
15,165.234375,163.0
15,166.609375,163.5
15,174.328125,217.5
15,176.203125,162.25
15,177.578125,162.0
15,183.890625,414.0
15,185.359375,424.5
15,186.390625,442.0
15,187.5,466.75
15,188.703125,496.5
15,190.0,503.5
15,191.59375,504.25
15,192.84375,507.75
15,194.171875,512.0
15,195.484375,518.25
15,196.84375,525.25
15,198.125,535.75
15,199.375,547.25
15,200.828125,560.5
15,202.1875,575.25
15,203.390625,601.75
15,204.796875,577.0
15,206.265625,556.0
15,207.8125,532.5
15,209.421875,510.25
15,210.9375,494.75
15,212.359375,483.75
15,213.6875,476.75
15,214.90625,477.25
15,216.59375,471.5
15,217.890625,472.25
15,219.109375,474.25
15,220.640625,478.75
15,221.984375,484.25
15,223.09375,494.5
15,224.515625,507.0
15,225.640625,517.0
15,227.1875,521.75
15,228.359375,526.5
15,229.890625,532.0
15,231.140625,540.75
15,232.375,551.75
15,233.796875,571.25
15,234.921875,606.5
15,236.25,633.75
15,237.734375,635.75
15,238.953125,631.25
15,240.4375,629.5
15,241.828125,630.75
15,243.140625,637.0
15,244.484375,646.0
15,245.890625,627.25
15,247.34375,612.0
15,248.71875,609.25
15,250.0625,609.5
15,251.578125,616.25
8,252.71875,654.25
15,254.1875,1504.25
9,255.609375,1455.25
15,257.015625,1419.25
15,258.40625,1423.75
12,261.390625,537.5
15,266.515625,1660.75
15,267.875,1648.75
15,269.21875,1637.0
8,281.625,226.0
15,280.03125,679.0
15,285.5625,669.5
15,286.828125,687.25
15,289.703125,1618.75
15,291.03125,1627.75
15,292.46875,1573.0
15,293.9375,1414.0
15,295.421875,1295.75
8,297.90625,663.25
15,299.125,659.25
15,300.59375,648.25
15,304.828125,642.0
15,305.984375,665.25
15,307.46875,691.0
15,308.75,697.25
15,310.171875,696.75
15,311.46875,669.0
15,313.078125,644.25
15,317.421875,383.0
15,318.609375,373.0
15,321.53125,355.5
15,324.640625,325.5
15,329.21875,339.0
15,331.390625,357.0
15,332.5,367.5
15,334.0,378.75
15,335.234375,390.0
15,336.15625,402.75
15,337.390625,416.75
15,339.203125,409.5
15,340.53125,404.0
15,342.09375,398.25
15,343.296875,393.5
15,344.609375,388.0
15,345.96875,383.75
15,347.640625,380.0
15,348.875,375.75
15,350.609375,372.25
15,352.03125,368.5
12,356.96875,214.75
15,354.5,364.75
15,356.203125,367.25
15,2.0,349.5
15,2.8125,351.25
15,4.453125,352.0
15,9.75,352.0
15,11.421875,350.0
15,19.3125,140.5
15,19.40625,139.25
15,20.78125,139.0
15,22.15625,138.5
15,23.53125,138.5
15,24.890625,138.5
15,26.6875,138.0
15,27.640625,138.25
15,30.53125,138.25
15,32.015625,138.5
15,31.75,138.5
15,33.875,138.25
15,36.109375,138.5
15,35.859375,137.25
15,37.234375,135.5
15,38.59375,134.25
15,42.84375,144.5
15,44.21875,142.75
15,45.609375,142.75
15,48.046875,144.0
13,48.359375,145.25
15,49.734375,146.25
12,51.109375,147.75
9,53.265625,148.75
8,56.609375,150.5
15,104.671875,133.0
15,127.921875,131.25
15,136.34375,251.5
15,137.796875,253.25
15,140.546875,254.25
15,141.171875,255.75
15,143.140625,258.0
15,144.390625,262.0
15,145.453125,266.25
15,146.796875,260.5
6,147.578125,342.25
12,151.984375,265.5
15,150.4375,808.25
15,151.734375,794.5
15,154.015625,538.75
15,155.453125,528.5
15,156.828125,524.75
15,158.296875,493.5
15,165.015625,163.75
15,166.375,163.0
15,174.09375,217.25
15,175.96875,163.0
15,177.34375,161.75
15,178.703125,163.75
15,180.0625,167.5
15,183.796875,414.5
15,184.796875,423.0
15,186.421875,439.0
15,187.5,462.0
15,188.53125,491.75
15,190.078125,501.0
15,191.234375,504.0
15,192.546875,505.75
15,193.984375,511.0
15,195.21875,516.25
15,196.515625,524.5
15,198.109375,533.75
15,199.40625,544.75
15,200.71875,557.75
14,201.828125,574.75
9,203.171875,577.75
15,204.609375,579.5
15,205.96875,559.25
15,207.578125,537.0
15,209.0,512.5
15,210.71875,495.5
15,212.046875,485.5
15,213.265625,478.75
15,214.640625,476.0
15,216.109375,472.0
15,217.75,471.5
15,218.921875,473.5
15,220.234375,478.25
15,221.5625,483.5
15,222.921875,492.5
15,224.359375,504.75
15,225.4375,516.25
15,226.9375,521.5
15,228.390625,526.0
15,229.546875,530.75
15,231.0,538.0
15,232.203125,550.0
15,233.625,567.75
15,234.75,602.25
15,236.0,637.25
15,237.59375,637.25
15,238.8125,633.25
15,240.25,631.0
15,241.71875,632.75
15,243.09375,637.75
15,244.359375,647.25
15,245.765625,632.75
15,247.171875,609.75
15,248.609375,606.75
15,250.109375,607.0
15,251.453125,613.0
15,252.46875,634.25
15,253.984375,1514.0
9,255.359375,1465.5
8,256.8125,1425.25
15,258.171875,1427.0
15,264.921875,1609.0
15,266.25,1658.5
15,267.65625,1652.5
15,268.984375,1635.75
12,279.125,1005.5
15,281.34375,640.0
15,282.796875,591.25
15,283.4375,872.0
15,285.265625,670.0
15,286.609375,681.0
15,289.484375,1613.5
15,290.84375,1627.0
15,292.21875,1586.0
15,293.703125,1431.5
15,295.171875,1311.0
15,299.078125,661.0
15,300.453125,652.75
8,301.859375,631.25
15,304.703125,636.5
15,305.84375,662.5
15,307.21875,687.5
15,308.59375,675.5
15,309.921875,700.75
15,311.3125,672.5
15,312.796875,645.75
15,317.1875,382.25
15,318.453125,379.75
15,321.53125,354.75
15,324.5625,323.5
8,329.5625,234.75
15,328.953125,338.5
8,330.015625,339.25
15,331.140625,355.5
15,332.5625,366.25
15,333.828125,376.5
15,334.859375,388.0
15,336.125,401.0
15,337.5625,417.5
15,338.875,411.75
15,340.265625,404.75
15,341.53125,400.0
15,343.296875,394.0
15,344.625,388.75
15,345.84375,384.5
15,347.59375,380.0
15,348.609375,376.0
15,349.984375,373.25
15,351.6875,370.25
15,352.875,371.75
15,354.34375,364.5
15,355.890625,366.25
15,1.421875,348.75
15,2.578125,352.0
15,4.234375,352.0
15,10.984375,350.75
15,12.1875,353.25
15,17.828125,140.0
15,19.171875,140.0
15,20.5625,139.0
15,21.921875,139.25
15,23.296875,138.5
15,25.40625,138.75
15,26.03125,138.25
15,27.40625,138.25
15,28.765625,138.25
15,30.15625,138.25
15,31.515625,138.0
15,34.390625,138.5
15,34.25,138.5
15,35.625,137.5
15,36.984375,135.75
15,38.359375,133.5
15,42.59375,144.75
15,43.71875,143.5
15,45.34375,143.0
15,46.71875,143.25
15,48.09375,146.0
14,49.71875,145.5
12,50.84375,147.25
9,54.96875,152.25
7,57.71875,159.25
8,60.46875,159.75
7,61.859375,159.75
12,104.421875,131.75
14,105.78125,131.5
12,129.71875,131.25
15,129.46875,132.75
10,130.34375,135.0
15,136.109375,251.5
15,138.484375,252.5
15,139.84375,254.25
15,140.6875,255.25
15,142.875,257.0
15,142.875,261.0
15,144.65625,266.25
15,146.03125,259.75
12,150.0625,811.0
15,151.390625,796.75
15,153.765625,542.25
15,155.09375,530.5
15,156.46875,525.25
15,157.921875,484.5
15,164.65625,163.25
15,166.03125,161.75
15,172.359375,217.0
15,175.59375,162.25
15,176.96875,160.0
15,178.328125,162.25
15,179.6875,165.75
15,183.1875,414.75
15,184.453125,419.0
15,185.796875,433.5
15,186.921875,455.75
15,188.40625,482.25
15,189.390625,502.0
15,190.96875,503.5
15,192.359375,505.0
15,193.6875,510.0
15,195.03125,514.75
15,196.3125,521.25
15,197.53125,529.75
15,199.0,541.0
15,200.203125,553.0
15,201.640625,570.5
9,202.921875,584.25
15,204.109375,588.25
15,205.59375,565.0
15,207.15625,545.0
15,208.5625,519.5
15,210.0625,500.5
15,211.6875,487.75
15,212.890625,479.25
15,214.21875,476.5
15,215.9375,472.0
15,217.28125,470.25
15,218.46875,471.5
15,220.0,475.25
15,221.171875,480.5
15,222.53125,489.25
15,223.640625,500.5
15,225.0,513.0
15,226.328125,520.25
15,227.703125,524.75
15,229.21875,529.25
15,230.6875,536.5
15,231.828125,546.5
15,233.171875,562.0
15,234.328125,591.0
15,235.609375,628.75
15,237.046875,646.75
15,238.375,641.5
15,239.75,639.5
15,241.046875,642.25
15,242.421875,645.25
15,243.8125,654.5
15,245.140625,674.25
15,246.8125,609.5
15,248.3125,596.5
15,249.640625,595.5
15,250.9375,599.0
15,252.328125,609.75
12,256.359375,1431.75
15,257.65625,1452.75
10,260.671875,547.75
15,265.828125,1662.25
15,267.203125,1654.25
15,268.53125,1641.75
15,276.609375,314.75
15,280.921875,229.25
